,0,length
809,"[1, 14, 9, 35, 6010, 3219, 453, 15, 349, 70, 358, 4, 114, 1160, 6, 185, 255, 440, 9510, 37, 271, 8, 157, 18, 6, 2, 103, 1170, 75, 70, 3461, 41, 1783, 11, 2720, 39, 3377, 8, 3794, 1400, 45, 363, 5, 6, 171, 85, 1508, 133, 9, 31, 7, 4, 171, 108, 11, 63, 280, 194, 58, 1325, 670, 7471, 133, 1293, 5007, 6, 4096, 19, 372, 739, 12, 82, 944, 6, 2700, 1820, 5383, 5, 1307, 696, 177, 808, 12, 46]",84
810,"[1, 6, 647, 20, 6, 394, 802, 292, 249, 881, 647, 116, 6, 65, 15, 9, 340, 10, 10, 48, 558, 16, 170, 8, 1197, 48, 102, 144, 1743, 8, 30, 224, 4235, 34, 14, 31, 4, 436, 182, 20, 1600, 62, 150, 30, 351, 10, 10, 6, 389, 20, 8, 123, 15, 438, 144, 24, 30, 224, 34, 84, 37, 104, 36, 70, 97, 102, 10, 10, 13, 244, 131, 1535, 37, 26, 148, 107, 539, 37, 123, 56, 11, 4, 20, 18, 120, 320, 35, 534, 5, 26, 115, 1725, 8, 178, 10, 10]",96
811,"[1, 4, 22, 9, 643, 441, 21, 4, 833, 792, 9, 2, 2, 1322, 239, 12, 47, 77, 470, 153, 237, 14, 20, 16, 626, 5, 2363, 7182, 47, 825, 143, 53, 2333, 382, 59, 144, 1231, 8, 4, 53, 2, 643, 105, 15, 59, 47, 4891, 11, 85, 354]",50
812,"[1, 4, 6622, 114, 87, 2057, 4, 3446, 833, 519, 1313, 126, 97, 14, 20, 6, 176, 7, 253, 8, 106, 4, 307, 2, 2, 1608, 8, 4, 3129, 4, 481, 603, 9, 1339, 763, 8, 32, 14, 35, 6349, 177, 15, 82, 186, 8, 30, 260, 6, 176, 7, 253, 231, 4, 20]",54
813,"[1, 1710, 203, 3031, 1028, 387, 2, 339, 4386, 485, 4, 96, 5, 1826, 88, 14, 500, 80, 2, 129, 251, 10, 10, 2, 381, 80, 5276, 1996, 5, 2703, 21, 3293, 80, 721, 25, 17, 76, 7, 6, 3974, 10, 10, 2, 143, 381, 123, 4386, 5, 2, 5, 51, 2, 36, 150, 26, 10, 10, 1286, 6805, 180, 47, 115, 77, 53, 253, 262, 6, 477, 985, 19, 751, 4, 2739, 10, 10, 14, 9, 371, 6, 1165, 1190, 500, 5, 12, 427, 1015, 6, 273, 11, 2, 2370, 7, 2246]",93
814,"[1, 14, 9, 35, 321, 22, 4, 2, 139, 71, 73, 224, 12, 16, 82, 4, 208, 2972, 7, 325, 5, 119, 4, 22, 408, 1217, 8, 4, 5263, 115, 11, 4, 479, 7, 406, 1944, 47, 38, 76, 77, 2, 34, 38, 111, 8, 38, 171]",47
815,"[1, 25, 28, 8, 28, 1452, 11, 1898, 18, 5236, 8, 358, 4, 936, 7, 14, 20, 13, 1452, 23, 2, 18, 120, 241, 153, 5, 5966, 18, 470, 264, 12, 42, 24, 51, 25, 67, 7196, 6, 55, 52, 5, 1863, 431, 7, 2, 2924, 1263, 2, 199, 39, 6, 2255, 17, 73, 17, 965, 1519, 1971, 6, 163, 163, 5, 5761, 20, 15, 1015, 128, 74, 1531, 829, 12, 70, 126, 1919, 709, 46, 7, 158]",78
816,"[1, 427, 777, 845, 13, 135, 586, 81, 14, 2184, 20, 4, 1351, 12, 1015, 106, 12, 150, 777]",19
817,"[1, 4, 1126, 1737, 9, 31, 7, 4, 833, 102, 126, 6, 52, 65, 87, 156, 5, 6, 530, 277, 9, 51, 166, 14, 22, 4, 3583, 380, 7, 4, 167, 2102, 87, 2]",34
818,"[1, 474, 30, 254, 7369, 8, 135, 51, 9, 12, 15, 166, 14, 22, 38, 674, 8, 72, 137, 6, 55, 52, 20, 14, 9, 407, 24, 4, 91, 1339, 2, 22, 131, 367, 19, 4, 298, 1631, 12, 941, 231, 12, 83, 61, 965, 1029, 7, 2635, 1945, 13, 79, 8, 536, 44, 12]",55
819,"[1, 14, 20, 47, 188, 8, 30, 4, 433, 20, 13, 28, 126, 110, 13, 64, 296, 44, 6, 320, 35, 534, 5, 13, 43, 2925, 12, 125, 4, 1880, 11, 14, 20, 168, 40, 107, 2, 1011, 630, 2, 295, 14, 20, 218, 60, 52, 18, 919, 4, 64, 58, 13, 1498, 16, 54, 2, 828, 660, 11, 163, 544, 1337, 70, 1559, 2, 13, 301, 3942, 558, 5, 2925, 12, 125, 78, 78, 20, 241, 158]",78
820,"[1, 6, 55, 8651, 453, 7, 392, 513, 1226, 1951, 19, 35, 1356, 328, 1601, 588, 7, 719, 2, 81, 2, 3347, 627, 5, 52, 1321, 2864, 2763, 193, 178, 143, 4, 7971, 649, 200, 4, 1781, 5, 4, 492, 7, 27, 2408, 6, 131, 976, 65, 15, 2, 4, 2891, 2, 108, 7, 4346, 5521, 6951, 2370, 47, 6, 87, 217, 17, 4, 2024, 1601, 336, 5776, 14, 16, 165, 814, 11, 344, 513, 7, 2, 717, 19, 111, 7, 4, 6411, 343, 17, 2260]",86
821,"[1, 249, 189, 22, 126, 21, 1529, 22, 126, 4985, 11, 31, 25, 28, 188, 8, 67, 14, 22, 12, 9, 38, 706, 12, 9, 21, 25, 28, 8, 67, 12, 66, 1657, 590, 106, 4, 2]",37
822,"[1, 5, 45, 6, 52, 31, 99, 11, 192, 14, 203, 30, 31, 7, 4, 118, 5636, 7, 861, 2, 126, 93, 45, 576, 73, 917, 5, 47, 49, 2612, 2860, 388, 35, 400, 3522, 22, 11, 4020, 9137, 7750, 5, 2, 7, 90, 8, 30, 252, 21, 48, 335, 1688, 8, 1779, 90, 11, 141, 35, 5163, 217, 45, 434, 55, 3133]",63
823,"[1, 13, 528, 2866, 13, 1610, 14, 22, 88, 12, 16, 35, 7112, 22, 19, 49, 614, 3759, 383, 13, 188, 15, 136, 5, 3342, 2, 3355, 617, 3507, 21, 4, 360, 7, 4, 22, 9, 43, 4, 644, 196, 1948, 1874, 498, 108, 19, 411, 40, 122, 13, 28, 6, 452, 42, 336, 13, 92, 124, 2, 633, 2132, 11, 196, 2, 10, 10, 48, 25, 26, 1997, 44, 4, 4592, 7, 498, 8, 1509, 238, 30, 35, 221, 168, 19, 361, 7, 4, 702, 930, 4558, 13, 16, 131, 99, 550]",93
824,"[1, 13, 219, 14, 20, 153, 44, 709, 153, 596, 54, 12, 86, 385, 46, 5, 4, 64, 1883, 15, 13, 28, 44, 12, 26, 300, 15, 12, 16, 373, 241, 15, 11, 31, 136, 2, 2, 7453, 2, 2, 8, 41, 2800, 5, 2977, 3727, 18, 44, 1119, 234, 730, 12, 468, 15, 196, 3847, 342, 31, 136, 121, 6, 109, 214, 6, 2, 2, 83, 27, 419, 11, 14, 136, 54, 4, 4225, 2, 4, 419, 2, 40, 3062, 45, 179, 78]",84
825,"[1, 13, 16, 2001, 2, 7, 559, 54, 13, 219, 14, 3058, 2, 22, 33, 4, 4601, 1716, 11, 2, 2, 13, 4662, 4, 2081, 5, 303, 1247, 4, 816, 131, 28, 199, 13, 244, 150, 2, 2, 5, 28, 24, 110, 12, 237, 869, 280, 23, 2630, 248, 11, 5581, 31, 7, 4, 833, 6041, 126, 6538, 87, 603, 5, 365, 591, 387, 160, 2248, 67, 14, 87, 22, 12, 16, 61, 2871, 8, 1422, 5, 6678, 19, 61, 1897, 7, 8417, 591, 223, 7, 42, 766, 14, 356, 515]",91
826,"[1, 45, 618, 51, 13, 873, 39, 12, 9073, 1984, 5, 441, 4, 116, 378, 16, 1190, 17, 73, 17, 4, 136, 5560, 13, 1276, 386, 14, 45, 243, 7, 4, 20, 15, 70, 30, 110, 34, 226, 223, 33, 4, 172, 58, 209, 259, 547, 3148, 42, 397, 1100, 14, 1036, 20, 80, 97, 25, 1826, 5, 462, 99, 5, 4, 206, 139, 26, 8540, 2239, 7, 682, 298, 212, 5, 55, 73, 224]",75
827,"[1, 73, 13, 244, 38, 1264, 13, 296, 14, 23, 4285, 305, 7, 2648, 18, 12, 11, 4, 2258, 42, 374, 1130, 4, 20, 47, 49, 757, 21, 48, 25, 181, 8, 97, 12, 6, 2640, 20, 13, 1467, 15, 25, 413, 51, 4, 293, 105, 26, 446, 2, 10, 10, 241, 158]",53
828,"[1, 198, 6, 916, 916, 20, 5, 152, 1833, 6, 128, 951, 74, 628, 7645, 31, 4, 318, 302, 26, 913, 93, 4, 156, 26, 2, 78, 156, 5, 11, 14, 20, 45, 24, 44, 6, 1522, 63, 9, 4, 5942, 7, 6, 1225, 5, 497, 8, 548, 429, 4, 21, 12, 186, 8, 30, 6, 932, 20, 63, 4104, 3490, 8, 2, 243, 7, 2, 198, 1348, 24, 4, 80, 7, 1265, 6992, 4, 2133, 7, 4, 1446, 173, 1711, 808, 46, 628, 7645, 31, 198, 4, 404, 3350, 8, 4, 2868]",93
829,"[1, 4, 2, 1563, 768, 944, 107, 9119, 2, 39, 275, 3012, 7, 4, 1944, 4, 2, 1909, 5, 2, 4, 8667, 162, 1811, 909, 11, 6, 985, 11, 834, 469, 4, 1691, 390, 201, 5, 31, 20, 4, 107, 5886, 68, 119, 18, 257, 85, 137, 269, 8, 216, 8, 9767, 19, 4, 325, 15, 2, 98, 12, 944, 6, 6548, 5, 6339, 883, 5, 2, 748, 34, 230, 31, 7, 4, 118, 8, 569, 298, 2, 1735, 56]",80
830,"[1, 13, 828, 149, 12, 88, 12, 468, 40, 4, 114, 16, 170, 1198, 54, 12, 2, 188, 50, 13, 16, 55, 685, 146, 170, 8, 376, 25, 51, 66, 575, 11, 4, 375, 4130, 21, 279, 13, 528, 279, 637, 43, 8958, 142, 80, 593, 4, 927, 3674, 101, 1546, 14, 9, 24, 60, 6, 503, 20, 45, 6, 93, 18, 248, 503, 20]",65
831,"[1, 321, 65, 7, 456, 15, 359, 2, 31, 7, 148, 1281, 108, 15, 13, 100, 106, 19, 61, 693, 5, 709, 291, 154, 2847, 3848, 491, 16, 321, 11, 4, 425, 217, 12, 16, 82, 327, 8, 67, 1368, 3590, 11, 6, 53, 1280, 217]",46
832,"[1, 8954, 143, 4, 4809, 13, 16, 2042, 195, 8, 7740, 725, 4, 454, 7, 14, 20, 13, 215, 974, 15, 12, 7258, 61, 692, 220, 1241, 13, 119, 922, 108, 5, 14, 9, 42, 144, 30, 1192, 6, 356, 31, 7, 4, 91, 389, 2, 7, 14, 20, 9, 15, 4, 293, 109, 16, 24, 64, 668, 21, 59, 16, 82, 6, 78, 250, 13, 545, 386, 14, 20]",70
833,"[1, 8, 72, 2, 9, 434, 31, 7, 4, 128, 102, 13, 28, 110, 13, 92, 104, 2, 16, 4167, 1436, 8, 30, 6, 189, 20, 21, 6, 20, 7533, 4, 2, 7, 1067, 48, 25, 106, 12, 19, 15, 11, 330, 12, 505, 83, 6, 66, 52, 22, 4, 64, 616, 227, 16, 4, 373, 544, 3110, 18, 4, 631, 310, 89, 70, 25, 535, 101, 701, 1124, 415, 8, 1632, 8, 134, 3809, 1124, 2458, 18, 107, 634, 387, 2174, 631, 2, 81, 4, 662, 42, 361, 2576, 305]",91
834,"[1, 14, 20, 13, 296, 145, 11, 5697, 54, 12, 385, 46, 261, 13, 1049, 4, 86, 173, 7, 4, 20, 51, 13, 122, 67, 16, 87, 14, 20, 9, 254, 8, 169, 21, 48, 258, 25, 215, 67, 4, 116, 9, 87, 55, 867, 619, 20, 48, 13, 126, 169, 72, 6, 1039, 13, 407, 80, 818, 72, 6, 1039, 8, 2528]",63
835,"[1, 14, 2, 20, 44, 6, 799, 5, 41, 985, 8, 607, 17, 111, 3741, 17, 59, 70, 9, 55, 728, 4, 22, 127, 73, 11, 3613, 56, 4, 105, 5, 800, 89, 799, 3177, 2033, 19, 257, 10, 10, 6, 389, 1311, 39, 113, 8, 341, 10, 10]",49
836,"[1, 13, 16, 53, 2176, 34, 149, 61, 322, 220, 1598, 41, 1153, 46, 11, 4185, 143, 91, 7, 14, 20, 13, 197, 142, 15, 62, 4228, 12, 32, 295, 62, 30, 43, 187, 4, 3130, 7, 4, 2, 2, 101, 786, 38, 13, 4563, 7258, 4, 2941, 5, 16, 2, 8, 169, 46, 12, 16, 277, 11, 1533, 891, 234, 13, 144, 28, 679, 4, 1308, 1036, 12, 69, 986, 21, 2]",73
837,"[1, 4370, 6236, 6, 6474, 17, 6, 2, 3784, 22, 1359, 708, 63, 152, 97, 76, 7, 94, 1074, 2428, 270, 56, 342, 158]",24
838,"[1, 92, 67, 14, 20, 45, 6188, 4, 380, 9, 849, 55, 52, 21, 11, 4, 655, 285, 734, 5, 13, 66, 2598, 3427, 3042, 44, 1502, 2512, 23, 4, 3602, 826, 2, 144, 1133, 14, 17, 27, 236, 580, 8, 3235, 4842, 602, 373, 431, 4, 64, 1927, 1466, 9, 4, 3620, 157, 7, 670, 4571, 2, 5, 10, 10, 440, 25, 193, 61, 4666, 4, 431, 9, 1916]",70
839,"[1, 14, 22, 9, 35, 4467, 164, 495, 23, 101, 651, 4, 458, 881, 116, 5, 802, 157, 295, 8, 2, 129, 523, 39, 4, 268, 285, 9, 4650, 5, 3316, 33, 86, 25, 70, 870, 50, 19, 5, 2, 2, 5, 462, 33, 12, 21, 55, 3633, 4, 226, 781, 7, 149, 43, 461, 99, 2]",57
840,"[1, 2, 2, 9, 6, 594, 11, 14, 29, 166, 141, 6, 52, 2, 4, 217, 348, 133, 18, 742, 3636, 16, 93, 18, 90, 3041, 4, 973, 292, 23, 14, 22, 16, 404, 13, 104, 12, 16, 31, 7, 148, 1281, 5392, 121, 285, 2, 4, 65, 347, 16, 52, 4, 700, 414, 6, 2039, 5, 4, 922, 2, 539, 6, 3037, 257, 109, 25, 26, 2, 8, 60, 4, 1910, 138, 191, 75, 97, 108, 40, 14, 101, 53, 691, 14, 9, 6, 55, 631, 212, 19, 52, 2425, 5, 2]",93
841,"[1, 14, 22, 517, 46, 19, 32, 4, 4378, 2339, 7, 6, 87, 2392, 1359, 1010, 103, 4, 1815, 3708, 636, 2763, 720, 553, 4, 1385, 9, 1293, 9877, 4, 105, 2, 4383, 137, 49, 7, 4, 116, 9, 329, 74, 867, 4, 114, 1116, 1545, 195, 1074, 5, 1299, 8, 97, 14, 20, 290, 6, 168]",57
842,"[1, 331, 31, 7, 4, 833, 108, 126, 93, 1517, 7, 1266, 4648, 141, 1874, 2, 17, 4, 2269, 7, 4, 500, 1758, 8999, 2, 709, 300, 241, 5834, 7, 1762, 4, 314, 7, 4, 1205, 381, 1080, 2, 2, 4, 1797, 7, 1820, 7, 6792, 4, 689, 3139, 3682, 5, 2, 852, 199, 6, 2, 5, 35, 220, 404, 157, 7, 498]",63
843,"[1, 14, 9, 31, 7, 148, 102, 121, 13, 16, 6081, 18, 2500, 100, 130, 4, 20, 4, 2, 13, 473, 8, 67, 4, 1788, 516, 2065, 5, 9631, 43, 8, 79, 12, 120, 19, 691, 14, 9, 4, 855, 107, 1788, 28, 8, 783, 5, 6, 840, 47, 8, 79, 527, 2733, 23, 27, 393, 18, 2, 492, 8, 79, 6, 3909, 2, 8300, 39, 6219, 455, 2065, 9, 12, 290, 12, 57]",74
844,"[1, 4, 64, 1653, 136, 11, 14, 20, 9, 54, 4, 3948, 26, 1412, 46, 8, 548, 2, 50, 16, 31, 52, 8837, 499, 1968, 5, 15, 9, 4, 118, 342, 1574, 7, 4, 20, 472, 4, 360, 7, 4, 20, 47, 55, 117, 8, 386, 12, 50, 26, 128, 8231, 46, 50]",53
845,"[1, 2031, 5, 527, 13, 16, 24, 770, 14, 346, 1452, 123, 161, 97, 12, 13, 377, 2, 54, 2953, 39, 4, 8682, 805, 2, 134, 2031, 672, 40, 36, 71, 165, 629, 5874, 19, 78, 116, 5, 2320, 228, 13, 16, 770, 14, 9802, 1177, 16, 126, 3708, 12, 115, 1177, 56, 174, 5, 31, 70, 64, 30, 9610, 18, 14, 2]",63
846,"[1, 45, 24, 1767, 15, 4, 2159, 7, 1931, 1150, 6148, 71, 2, 34, 5186, 2212, 3598, 14, 9, 4, 2, 11, 5119, 456, 54, 36, 413, 4, 2, 7, 2212, 5, 1815, 846, 13, 416, 61, 452, 39, 7419, 7, 5388, 11, 4695, 5, 435, 143, 91, 7, 4, 172, 1438, 1000, 34, 2, 11, 14, 22, 422, 12, 93, 72, 1415, 21, 4, 1674, 71, 147, 4, 105, 71, 147, 5, 4, 114, 943, 576, 1863, 3600, 8, 4, 436, 177, 5, 1051, 18, 6, 389, 1146, 7, 113, 5, 341, 5, 4, 4931, 7, 5520]",98
847,"[1, 13, 219, 14, 22, 31, 2927, 5, 13, 70, 135, 15, 12, 433, 74, 85, 189, 22, 44, 6, 2368, 313, 8519, 723, 9, 24, 31, 7, 4, 118, 524, 21, 59, 70, 81, 4, 217, 128, 4, 117, 250, 79, 433, 14, 9, 6, 463, 44, 6, 78, 524, 59, 47, 24, 188, 705, 11, 4, 87, 182, 7, 108, 4130, 18, 313, 7, 4, 6333, 78]",69
848,"[1, 14, 20, 9, 1047, 24, 2, 43, 2272, 3649, 5, 243, 13, 258, 12, 64, 2791, 163, 5, 4, 863, 9, 5261, 6415, 21, 4, 105, 26, 38, 1220, 262, 2, 2, 15, 36, 69, 61, 368, 692, 208, 39, 4, 454, 5, 515, 69, 61, 5499, 99, 10, 10, 7398, 2335, 47, 224, 6, 87, 292, 11, 41, 940, 2016, 5, 6, 52, 292, 19, 4, 487, 17, 73, 13, 545, 386, 14, 20, 5, 80, 67, 12, 174, 146, 252]",83
849,"[1, 14, 9, 34, 230, 4, 249, 701, 631, 189, 20, 207, 126, 110, 4, 116, 9, 1639, 4, 3963, 26, 331, 379, 5, 4, 65, 9, 484, 2, 45, 24, 60, 629, 241, 46, 7, 158, 39, 72]",39
850,"[1, 87, 20, 2, 9, 34, 230, 4, 1529, 109, 11, 6, 20, 2100, 2, 2, 166, 14, 20, 60, 128, 73, 159, 2, 1131, 2, 5, 90, 71, 295, 21, 40, 747, 153, 303, 2, 214, 2, 145, 17, 6, 4217, 5, 961, 90, 145, 8, 113, 12, 16, 6, 87, 20, 629, 5, 2, 163, 64, 88, 2, 158, 158]",62
851,"[1, 11, 6, 58, 7, 727, 102, 11, 63, 7138, 567, 706, 883, 5, 2616, 12, 9, 6948, 1767, 8, 169, 141, 6, 680, 20, 4, 114, 410, 9, 1444, 5, 4, 156, 26, 321, 262, 1611, 2, 48, 25, 181, 8, 106, 6, 20, 15, 127, 24, 1754, 32, 4, 2757, 159, 2254, 4, 1204, 6, 20, 15, 80, 866, 25, 11, 52, 42, 78, 465, 18, 25, 5, 48, 335, 24, 2347, 264, 72, 15, 1611, 239, 9, 73, 290, 12, 262, 33, 4, 130, 1914]",88
852,"[1, 13, 28, 8, 135, 15, 13, 66, 423, 467, 9818, 5, 254, 8, 516, 10, 10, 149, 3272, 399, 27, 163, 1647, 1733, 23, 84, 13, 28, 10, 10, 77, 210, 267, 930, 8, 3272, 102, 5, 472, 13, 16, 86, 685, 34, 2, 132, 63, 13, 258, 66, 78, 4, 2, 9, 242, 31, 7, 4, 249, 3272, 47, 126, 10, 10, 917, 11, 2357, 357, 913, 1993, 816, 5, 38, 23, 3214, 5571, 81, 624, 6, 2077, 35, 789, 245, 39, 14, 10, 10, 1252, 789, 245]",90
853,"[1, 6, 132, 5, 27, 322, 26, 24, 397, 367, 88, 7, 4, 5078, 6581, 5, 2779, 712, 54, 4, 322, 5539, 41, 799, 778, 6, 2, 1787, 1237, 4, 719, 568, 1110, 1372, 5, 6, 699, 823, 123, 51, 59, 659, 46, 2, 4, 436, 1830, 52, 453, 19, 775, 7, 478, 354, 448, 23, 6, 283, 65]",59
854,"[1, 7929, 5676, 4698, 299, 35, 2, 1461, 37, 62, 140, 8, 101, 2, 8, 79, 27, 761, 2, 2, 127, 6, 389, 292, 7, 231, 4, 118, 7, 41, 109, 5, 5313, 2, 299, 4, 632, 5, 206, 132, 14, 22, 9, 55, 52, 5, 474, 12, 8, 259]",50
855,"[1, 17, 914, 2046, 2, 62, 135, 14, 20, 4066, 6, 176, 23, 4, 2, 1956, 247, 74, 68, 676, 14, 402, 8111, 123, 4, 8016, 11, 2, 3340, 47, 55, 117, 8, 5744, 12, 85, 74, 800, 307, 372, 754, 1298, 914, 2, 1593, 2, 117, 597, 1534, 280, 174, 15, 27, 20, 611, 80, 30, 1282, 751, 51, 27, 5842, 611, 9, 10, 10, 798, 14, 31, 894, 25, 40, 149, 307, 372, 11, 9940, 3971, 45, 44, 4, 64, 155, 15, 2, 12]",86
856,"[1, 13, 1610, 14, 20, 88, 13, 1925, 4, 1108, 11, 4, 374, 2364, 1130, 13, 219, 6222, 2, 7683, 7239, 58, 956, 5, 197, 7660, 191, 30, 99, 78, 472, 103, 149, 12, 61, 1384, 16, 24, 99, 52, 10, 10, 94, 243, 7, 6, 2, 7665, 21, 4, 249, 173, 9, 15, 85, 74, 6222, 4, 85, 1066, 7, 4, 5408, 161, 79, 195, 268, 58, 21, 94, 6, 542, 20, 8, 67, 280, 13, 482, 5, 2, 217, 16, 392, 195, 15, 59, 286, 348, 6, 580, 8, 30, 6, 2]",94
857,"[1, 7341, 308, 168, 145, 11, 2563, 4, 9399, 2, 7, 735, 2, 64, 667, 5402, 2, 11, 4, 4717, 6721, 7, 4, 204, 382, 99, 76, 38, 2935, 4, 414, 4, 116, 19, 6, 177, 2854, 34, 2688, 308, 7089, 3379, 7580, 5, 4, 2105, 6079, 365, 9329, 64, 34, 6, 99, 1605, 277, 97, 14, 290, 4, 137, 7, 101, 1461, 7, 750, 19, 6, 4797, 830]",69
858,"[1, 13, 244, 4, 243, 7, 415, 37, 70, 358, 6, 52, 503, 20, 48, 12, 47, 49, 243, 7, 1653, 1107, 8, 12, 21, 351, 834, 47, 164, 8, 5744, 12, 14, 9, 4, 243, 7, 22, 15, 80, 97, 25, 3571, 9521, 5, 1195, 8, 129, 2879, 10, 10, 78, 116, 835, 65, 394, 302, 527, 7028, 414, 351, 834, 47, 12, 32]",65
859,"[1, 87, 65, 5, 87, 485, 156, 5806, 5, 2381, 21, 4, 20, 2478, 39, 78, 940, 78, 881, 5, 78, 229, 4, 485, 156, 81, 68, 173, 21, 100, 24, 607, 4, 20, 33, 32, 99, 78, 88, 14, 100, 28, 77, 6, 52, 1355, 405, 2912, 836, 736, 708, 2381, 610, 38, 185, 5, 1476, 11, 14, 31, 151, 35, 608, 168, 18, 194, 2381, 451]",68
860,"[1, 14, 9, 4, 333, 5, 118, 11, 4, 3266, 2355, 51, 166, 12, 4, 118, 9, 4, 1096, 414, 10, 10, 3096, 81, 25, 181, 8, 1258, 72, 150, 42, 858, 2449, 25, 79, 344, 10, 10, 12, 16, 243, 7, 163, 89, 36, 828, 15, 170, 143, 46, 4, 346]",52
861,"[1, 14, 9, 53, 74, 43, 35, 1253, 7, 1648, 45, 6, 1044, 1677, 125, 19, 1501, 109, 7352, 15, 3467, 2, 62, 24, 28, 2, 7, 14, 22, 271, 180, 17, 4, 249, 2, 20, 35, 922, 60, 2, 5086, 497, 8, 2, 27, 501, 1691, 153, 303, 4, 959, 9, 6, 2, 5237, 310, 7, 4, 356, 632, 202, 72, 2477, 2567, 101, 251]",66
862,"[1, 1230, 1259, 47, 417, 521, 6, 1018, 815, 201, 208, 83, 4, 1565, 19, 14, 20, 338, 156, 2, 6, 527, 229, 184, 76, 5289, 14, 31, 56, 107, 634, 7, 129, 113, 490, 115, 79, 145, 140, 79, 6, 3663, 2, 305, 490, 358, 12, 53]",48
863,"[1, 75, 1610, 4, 20, 5, 12, 279, 4, 249, 20, 126, 4, 953, 36, 69, 11, 4, 374, 1130, 69, 6, 646, 267, 969, 23, 4, 1108, 21, 11, 635, 4, 969, 16, 6, 1664, 39, 4, 328, 2, 2377, 373, 373, 373, 25, 165, 238, 28, 8, 851, 12, 45, 38, 78, 12, 764, 40, 25, 26, 149, 6, 2, 1604, 344, 20]",65
864,"[1, 13, 16, 1383, 14, 62, 30, 6, 52, 7652, 2196, 18, 1756, 2, 31, 7, 61, 32, 58, 514, 3185, 2940, 5, 12, 9, 24, 50, 152, 306, 8, 30, 101, 1175, 200, 259, 23, 4, 123, 4, 414, 9, 6486, 3658, 5, 60, 4, 462, 1406, 1482, 8, 30, 1770]",52
865,"[1, 4, 863, 7, 1324, 7119, 19, 2, 5900, 934, 87, 190, 28, 1319, 8, 987, 6, 22, 15, 5245, 1201, 6, 2, 747, 153, 596, 2, 1168, 6157, 5, 8801, 71, 163, 150, 36, 26, 43, 616, 10, 10, 4, 22, 69, 2339, 151, 4, 91, 3388, 1455, 11, 3513, 9, 24, 6, 162, 326, 21, 1196, 8, 1645, 4, 1907, 2, 71, 3275, 354, 39, 2182, 2, 194, 1374, 7362, 5, 6269, 5, 4, 22, 9, 64, 1552, 234, 196, 806, 493, 21, 25, 66, 28, 569, 4, 1324]",91
866,"[1, 13, 69, 8, 67, 14, 23, 4, 698, 2, 1707, 12, 16, 1905, 78, 116, 5, 6, 995, 65, 24, 60, 6, 554, 62, 358, 14, 142, 8, 4416, 125, 48, 614]",33
867,"[1, 2127, 1256, 8, 1686, 39, 109, 8, 109, 11, 14, 2, 132, 2, 2, 27, 283, 2202, 17, 6, 109, 284, 257, 3570, 47, 68, 205, 749, 8, 2833, 44, 882, 926, 707, 1672, 525, 14, 9, 35, 1557, 215, 28, 18, 259, 37, 9, 6, 622, 337, 7, 116, 27, 239, 1367, 49, 7, 4, 91, 642, 5, 147, 388, 13, 28, 126, 2574, 17, 6, 829, 311]",70
868,"[1, 4, 5596, 71, 38, 163, 15, 13, 426, 858, 8, 67, 14, 20, 13, 43, 188, 344, 5, 13, 28, 8, 135, 13, 426, 28, 77, 53, 2942, 33, 14, 20, 422, 50, 71, 211, 121, 4, 640, 71, 163, 21, 4, 2749, 555, 71, 1350, 1820, 2, 9, 6, 478, 524, 21, 4, 136, 19, 4, 2, 3580, 16, 43, 11, 338, 1296, 2964, 8, 135, 4, 919, 71, 171, 5, 230, 200, 11, 4, 20, 313, 18, 6, 2256, 428, 2293, 13, 16, 31, 7, 6, 55, 392, 3516, 7, 5353]",94
869,"[1, 114, 600, 229, 6, 3592, 7, 6363, 116, 24, 11, 2314, 318, 302, 425, 720, 243, 7, 646, 21, 900, 4843, 338, 6691, 2367, 6059, 4, 1320, 9, 8538, 1215, 2367, 64, 4, 91, 1680, 1215, 62, 2, 1646, 14, 912, 191, 25, 135, 233, 1123, 13, 122, 4, 2818, 71, 243, 7, 646, 10, 10, 318, 4437, 888, 129, 326, 7, 609, 112, 33, 6, 1073, 19, 84, 37, 5881, 14, 4060, 6, 693]",76
870,"[1, 40, 160, 4426, 13, 188, 14, 706, 13, 197, 7304, 2, 261, 24, 290, 15, 1166, 7, 278, 12, 9, 6, 964, 356, 15, 13, 40, 4, 85, 6320, 86, 219, 54, 13, 16, 6, 554, 5, 16, 267, 930, 8, 319, 174, 49, 891, 153, 103, 4, 65, 9, 2789, 1523, 63, 9, 138, 12, 238, 28, 952, 18, 362, 21, 32, 4, 1878, 1101, 5, 2, 538, 166, 56, 18, 12, 4092, 168, 52, 23, 61, 288, 4200, 11, 153, 8, 216, 86, 829, 4292, 158, 158, 333, 829, 3528, 470, 158]",95
871,"[1, 87, 177, 87, 116, 87, 228, 257, 109, 11, 14, 20, 69, 68, 205, 537, 5, 3051, 5, 45, 3983, 6, 87, 20, 24, 8, 30, 1049]",28
872,"[1, 6, 389, 65, 38, 307, 579, 38, 1596, 38, 2, 57, 9683, 8, 1634, 13, 104, 140, 67, 12, 235, 12, 12, 6, 65, 44, 119, 883, 325, 5, 30, 4951, 38, 389, 38, 368, 7, 883, 48, 25, 119, 883, 67, 12, 48, 25, 92, 119, 883, 453, 73, 1771, 12, 198, 32, 13, 70, 13, 2302, 158, 46, 7, 158, 381, 389]",65
